Iowa DOT Case Number,Law Enforcement Case Number,Date of Crash,Month of Crash,Day of Week,Time of Crash,Hour,DOT District,City Name,County Name,Route with System,Location Description,First Harmful Event,Location of First Harmful Event,Manner of Crash/Collision,Major Cause,Drug or Alcohol ,Environmental Conditions,Light Conditions,Surface Conditions,Weather Conditions,Roadway Contribution,Roadway Type,Roadway Surface,Work Zone,Crash Severity,Number of Fatalities,Number of Injuries,Number of Major Injuries,Number of Minor Injuries,Number of Possible Injuries,Number of Unknown Injuries,Amount of Property Damage,Number of Vehicles Involved,Total Number of Occupants,Travel Direction,Location
2009485463,,01/07/2009,01-January,4-Wednesday,16:01,1600 Hours,District 3 (Northwest),,,,15TH ST & 15TH AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From yield sign,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,3500,2,4,N/A,POINT (-96.296611826716 43.205190906127)
2009484301,09-36,01/08/2009,01-January,5-Thursday,17:03,1700 Hours,District 1 (Central),,,,NW 111TH ST,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Dusk,Dry,Cloudy,None apparent,Intersection:  T-intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2300,2,2,N/A,POINT (-93.771457845352 41.614198949957)
2009488020,,01/09/2009,01-January,6-Friday,22:26,2200 Hours,District 6 (East Central),,,,MIDDLE RD,Collision with fixed object:  Utility pole/light support,Roadside,Non-collision (single vehicle),Crossed centerline (undivided),None Indicated,Weather conditions,Dark - roadway not lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Minor Injury,0,4,0,3,1,0,15000,1,4,N/A,POINT (-90.461622473694 41.58717992047)
2009494481,2009001644,01/09/2009,01-January,6-Friday,07:15,0700 Hours,District 1 (Central),,,US 65,US 65,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",FTYROW:  From yield sign,None Indicated,None apparent,Dawn,Wet,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,3000,2,2,N/A,POINT (-93.491319508725 41.664511521315)
2009487559,09-0038,01/09/2009,01-January,6-Friday,00:47,0000 Hours,District 2 (Northeast),,,US 69,US 69,Collision with fixed object:  Ditch,On Roadway,Non-collision (single vehicle),Swerving/Evasive Action,Alcohol (< Statutory),Weather conditions,Dark - roadway not lighted,Snow,"Sleet, hail",None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Possible/Unknown,0,1,0,0,1,0,3000,1,1,N/A,POINT (-93.616897881145 42.796532531869)
2009484304,09-0044,01/10/2009,01-January,7-Saturday,10:32,1000 Hours,District 1 (Central),,,I-35,I-35,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Driving too fast for conditions,None Indicated,Weather conditions,Daylight,Snow,Cloudy,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4000,2,3,N/A,POINT (-93.776851665951 41.61359517411)
2009490734,,01/10/2009,01-January,7-Saturday,21:00,2100 Hours,District 4 (Southwest),,,,Co Rd J46/250 ST,Collision with:  Animal,On Roadway,Head-on (front to front),Animal,None Indicated,N/A,Dark - roadway not lighted,Slush,Cloudy,N/A,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1500,1,3,N/A,POINT (-95.544537163659 40.686488281039)
2009486618,09-1234,01/11/2009,01-January,1-Sunday,17:48,1700 Hours,District 5 (Southeast),,,US 61,US 61 & TIMBERRIDGE,Collision with:  Animal,On Roadway,Non-collision (single vehicle),Animal,None Indicated,None apparent,Dark - roadway lighted,Snow,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4000,1,2,N/A,POINT (-91.141471639264 40.838081731595)
2009491653,200900581,01/11/2009,01-January,1-Sunday,16:25,1600 Hours,District 6 (East Central),,,IA 922,IA 922/WILLIAMS BLVD & 16TH AVE SW,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Other (explain in narrative):  Other,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1800,2,3,N/A,POINT (-91.708893839545 41.963141690614)
2009484807,09-0187,01/12/2009,01-January,2-Monday,09:57,0900 Hours,District 1 (Central),,,,1ST AVE S & S 7TH ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Unknown,None Indicated,None apparent,Daylight,Snow,Snow,None apparent,Intersection:  Other intersection (explain in narrative),Paved,N/A,Property Damage Only,0,0,0,0,0,0,3500,2,2,N/A,POINT (-94.188439224908 42.503905532249)
2009490489,,01/12/2009,01-January,2-Monday,10:35,1000 Hours,District 6 (East Central),,,,WESTWINDS DR & MELROSE AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,None apparent,Daylight,Snow,Clear,"Surface condition (e.g., wet, icy)",Intersection:  T-intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1500,2,2,N/A,POINT (-91.577572309251 41.657011500351)
2009485359,09731,01/12/2009,01-January,2-Monday,12:25,1200 Hours,District 6 (East Central),,,,MAIN ST,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Made improper turn,None Indicated,None apparent,Daylight,Snow,Snow,None apparent,Intersection:  T-intersection,Paved,N/A,Possible/Unknown,0,3,0,0,3,0,700,2,4,N/A,POINT (-90.575549602063 41.537808566902)
2009488181,09-000260,01/13/2009,01-January,3-Tuesday,17:38,1700 Hours,District 1 (Central),,,,SW IRVINEDALE DR,Collision with:  Vehicle in traffic,On Roadway,Head-on (front to front),FTYROW:  Making left turn,None Indicated,None apparent,Dark - roadway lighted,Wet,Cloudy,None apparent,Intersection:  Five points or more,Paved,N/A,Possible/Unknown,0,1,0,0,1,0,6000,2,2,N/A,POINT (-93.637466129964 41.703407099562)
2009503833,,01/13/2009,01-January,3-Tuesday,12:30,1200 Hours,District 4 (Southwest),,,,12TH ST & NODAWAY ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Other (explain in narrative):  No improper action,None Indicated,None apparent,Daylight,Ice/frost,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2100,2,2,N/A,POINT (-94.736410719593 40.993639628881)
2009489900,,01/13/2009,01-January,3-Tuesday,20:37,2000 Hours,District 2 (Northeast),,,,,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, opposite direction",Crossed centerline (undivided),None Indicated,Weather conditions,Dark - roadway lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,N/A,N/A,Property Damage Only,0,0,0,0,0,0,2500,2,3,N/A,POINT (-96.643700150779 40.233091251088)
2009488396,,01/14/2009,01-January,4-Wednesday,13:26,1300 Hours,District 2 (Northeast),,,,DIAGONAL ST & E ELM ST,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",FTYROW:  From stop sign,None Indicated,None apparent,Daylight,Ice/frost,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4800,2,2,N/A,POINT (-94.223169314693 43.073573188586)
2009486200,20090001433,01/14/2009,01-January,4-Wednesday,10:51,1000 Hours,District 1 (Central),,,US 69,US 69/SE 14TH ST & E WATROUS AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Lost Control,None Indicated,None apparent,Daylight,Ice/frost,Clear,"Surface condition (e.g., wet, icy)",Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,3000,3,7,N/A,POINT (-93.596873946867 41.548079798396)
2009490113,200900736,01/14/2009,01-January,4-Wednesday,18:38,1800 Hours,District 6 (East Central),,,,BLAIRS FERRY RD,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Lost Control,None Indicated,Weather conditions,Dark - roadway lighted,Snow,Clear,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1800,2,2,N/A,POINT (-91.68515437949 42.034824492133)
2009490081,2009-002135,01/14/2009,01-January,4-Wednesday,15:05,1500 Hours,District 6 (East Central),,,US 6,US 6 & S GILBERT ST,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Driving too fast for conditions,None Indicated,None apparent,Daylight,Ice/frost,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2750,2,2,N/A,POINT (-91.532195994564 41.645488541739)
2009486593,CL09000197,01/14/2009,01-January,4-Wednesday,13:10,1300 Hours,District 6 (East Central),,,,31ST AVE N & PERSHING BLVD,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Ran Stop Sign,None Indicated,None apparent,Daylight,Snow,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,5500,2,2,N/A,POINT (-90.177866230988 41.881769369397)
2009488677,09-0267,01/15/2009,01-January,5-Thursday,14:35,1400 Hours,District 1 (Central),,,,MAPLE ST & 8TH ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Ran Stop Sign,None Indicated,None apparent,Daylight,Ice/frost,Cloudy,"Surface condition (e.g., wet, icy)",Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,9000,2,2,N/A,POINT (-93.713047864416 41.571098220113)
2009486954,09946,01/15/2009,01-January,5-Thursday,12:29,1200 Hours,District 6 (East Central),,,,E 14TH ST & ARLINGTON AVE,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",FTYROW:  Other (explain in narrative),None Indicated,None apparent,Daylight,Snow,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2500,2,2,N/A,POINT (-90.562505835381 41.534029177969)
2009487040,09-0240,01/15/2009,01-January,5-Thursday,11:54,1100 Hours,District 1 (Central),,,,S 7TH ST,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Driving too fast for conditions,None Indicated,None apparent,Daylight,Ice/frost,Clear,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2000,2,2,N/A,POINT (-94.188556588767 42.504318577247)
2009487170,2009004394,01/16/2009,01-January,6-Friday,08:30,0800 Hours,District 6 (East Central),,,US 30,US 30/LINCOLN FWY,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Crossed centerline (undivided),None Indicated,None apparent,Daylight,Ice/frost,Clear,"Surface condition (e.g., wet, icy)",Non-intersection:  Other non-intersection (explain in narrative),Paved,N/A,Property Damage Only,0,0,0,0,0,0,3000,2,2,N/A,POINT (-91.702788213723 41.935152711686)
2009495839,090261PD,01/16/2009,01-January,6-Friday,10:00,1000 Hours,District 1 (Central),,,,17TH ST,Collision with:  Vehicle in traffic,Unknown,Rear-end (front to rear),Unknown,None Indicated,Unknown,Daylight,Unknown,Unknown,Unknown,Unknown,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1000,2,1,N/A,POINT (-93.891140023334 42.072995128432)
2009487879,2009004520,01/16/2009,01-January,6-Friday,15:27,1500 Hours,District 5 (Southeast),,,,DIVISION ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,None apparent,Daylight,Ice/frost,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Possible/Unknown,0,1,0,0,1,0,4000,2,2,N/A,POINT (-91.993132446612 41.189262923354)
2009488791,,01/16/2009,01-January,6-Friday,15:21,1500 Hours,District 6 (East Central),,,,MUSCATINE AVE & E BURLINGTON ST,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",FTYROW:  From stop sign,None Indicated,None apparent,Daylight,Ice/frost,Clear,"Surface condition (e.g., wet, icy)",Intersection:  T-intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1050,2,2,N/A,POINT (-91.516482246257 41.657851338323)
2009486684,20090277,01/17/2009,01-January,7-Saturday,18:10,1800 Hours,District 1 (Central),,,,Co Rd D35/215TH ST,Collision with:  Other non-fixed object (explain in narrative),On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,Weather conditions,Dark - roadway not lighted,Snow,"Blowing sand, soil, dirt","Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Minor Injury,0,1,0,1,0,0,500,1,1,N/A,POINT (-92.626756193113 42.391473234598)
2009488331,,01/17/2009,01-January,7-Saturday,14:27,1400 Hours,District 6 (East Central),,,I-80,I-80,Non-collision events:  Overturn/rollover,Roadside,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,Weather conditions,Daylight,Ice/frost,"Blowing sand, soil, dirt","Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2000,1,1,N/A,POINT (-92.267220888807 41.696218670609)
2009489379,,01/17/2009,01-January,7-Saturday,02:00,0200 Hours,District 4 (Southwest),,,,270TH ST,Collision with fixed object:  Utility pole/light support,On Roadway,Non-collision (single vehicle),Ran off road - right,None Indicated,None apparent,Dark - roadway not lighted,"Mud, dirt",Clear,None apparent,Non-intersection:  Non-junction/no special feature,Unpaved,N/A,Property Damage Only,0,0,0,0,0,0,10100,1,3,N/A,POINT (-94.024769438623 40.652840514072)
2009488032,09-008,01/17/2009,01-January,7-Saturday,13:05,1300 Hours,District 3 (Northwest),,,,NEWHALL AVE & 165TH ST & CENTER ST,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Driving too fast for conditions,None Indicated,Weather conditions,Daylight,Ice/frost,"Blowing sand, soil, dirt","Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Unpaved,N/A,Property Damage Only,0,0,0,0,0,0,11000,2,2,N/A,POINT (-94.657927691686 42.558546272748)
2009489700,09000340,01/18/2009,01-January,1-Sunday,09:30,0900 Hours,District 2 (Northeast),,,US 18,US 18,Non-collision events:  Overturn/rollover,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,None apparent,Daylight,Ice/frost,"Blowing sand, soil, dirt","Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1000,1,1,N/A,POINT (-93.030447366979 43.117017738628)
2009488842,,01/19/2009,01-January,2-Monday,23:44,2300 Hours,District 6 (East Central),,,,W JEFFERSON ST & S 5TH ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From driveway,None Indicated,Other (explain in narrative),Dark - roadway lighted,Snow,Cloudy,"Surface condition (e.g., wet, icy)",Non-intersection:  Driveway access (within),Paved,N/A,Property Damage Only,0,0,0,0,0,0,1600,2,4,N/A,POINT (-90.67028205199 42.058638664913)
2009489761,09-000370,01/19/2009,01-January,2-Monday,15:00,1500 Hours,District 1 (Central),,,,E 1ST ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From driveway,None Indicated,None apparent,Daylight,Dry,Cloudy,None apparent,Non-intersection:  Driveway access (within),Paved,N/A,Property Damage Only,0,0,0,0,0,0,2000,2,3,N/A,POINT (-93.599173423452 41.731859257584)
2009487369,20090120JR1,01/20/2009,01-January,3-Tuesday,08:50,0800 Hours,District 3 (Northwest),,,,Co Rd M56/260TH AVE,Collision with fixed object:  Ditch,Shoulder,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,None apparent,Daylight,Wet,Clear,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1200,1,1,N/A,POINT (-95.067398397851 43.415285131742)
2009487534,09-0332,01/20/2009,01-January,3-Tuesday,17:40,1700 Hours,District 1 (Central),,,,ELMHURST AVE & N 19TH ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Other (explain in narrative):  No improper action,None Indicated,None apparent,Dusk,Snow,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,6000,2,6,N/A,POINT (-94.172331577252 42.51729181511)
2009492704,,01/21/2009,01-January,4-Wednesday,18:10,1800 Hours,District 3 (Northwest),,,IA 12,IA 12/IOWA 12,Collision with:  Animal,On Roadway,Non-collision (single vehicle),Animal,None Indicated,N/A,Dusk,Dry,Clear,N/A,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2650,1,2,N/A,POINT (-96.513698846678 42.626627239051)
2009493036,,01/22/2009,01-January,5-Thursday,19:01,1900 Hours,District 6 (East Central),,,,C AVE NE,Collision with:  Vehicle in traffic,On Roadway,"Angle, oncoming left turn",Unknown,None Indicated,N/A,Dark - roadway lighted,Snow,Clear,N/A,Non-intersection:  Driveway access (within),Paved,N/A,Property Damage Only,0,0,0,0,0,0,1000,2,2,N/A,POINT (-91.638523584173 42.03587487827)
2009488229,09-0382,01/22/2009,01-January,5-Thursday,21:05,2100 Hours,District 1 (Central),,,,WESTOWN PKWY & 22ND ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Other (explain in narrative):  Other,None Indicated,None apparent,Dark - roadway lighted,Wet,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2000,2,2,N/A,POINT (-93.736059295764 41.596993117591)
2009491167,09001431,01/23/2009,01-January,6-Friday,12:30,1200 Hours,District 2 (Northeast),,,IA 122,IA 122/4TH ST SW & S TAYLOR AVE,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Unknown,None Indicated,None apparent,Daylight,Snow,Cloudy,"Surface condition (e.g., wet, icy)",Intersection:  T-intersection,Paved,N/A,Possible/Unknown,0,1,0,0,1,0,0,2,4,N/A,POINT (-93.21855329062 43.148366164031)
2009532538,09000617,01/24/2009,01-January,7-Saturday,20:30,2000 Hours,District 6 (East Central),,,,155TH AVE,Collision with fixed object:  Ditch,On Roadway,Non-collision (single vehicle),Ran off road - right,None Indicated,None apparent,Dark - roadway not lighted,Snow,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Unpaved,N/A,Property Damage Only,0,0,0,0,0,0,2000,1,1,N/A,POINT (-91.499055719746 42.608268536571)
2009489832,,01/24/2009,01-January,7-Saturday,19:50,1900 Hours,District 1 (Central),,,,4TH ST & JACKSON ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Lost Control,Alcohol (Statutory),None apparent,Dark - roadway lighted,Ice/frost,Unknown,"Surface condition (e.g., wet, icy)",Intersection:  T-intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2500,2,4,N/A,POINT (-92.567195075713 41.962407848094)
2009488979,20090002627,01/25/2009,01-January,1-Sunday,11:45,1100 Hours,District 5 (Southeast),,,US 65,US 65 & US 69 & IA 5,Collision with fixed object:  Bridge overhead structure,On Roadway,Unknown,Driving too fast for conditions,None Indicated,None apparent,Daylight,Slush,Clear,"Surface condition (e.g., wet, icy)",Non-intersection:  Other non-intersection (explain in narrative),Paved,N/A,Possible/Unknown,0,2,0,0,2,0,11000,1,2,N/A,POINT (-93.57191270953 41.506151307246)
2009490214,09-0230,01/25/2009,01-January,1-Sunday,04:50,0400 Hours,District 1 (Central),,,,DOUGLAS AVE & PATRICIA DR,Collision with fixed object:  Utility pole/light support,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,Alcohol (Statutory),Weather conditions,Dark - roadway lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4500,1,1,N/A,POINT (-93.752549986899 41.629330227822)
2009488955,09-0692,01/26/2009,01-January,2-Monday,18:47,1800 Hours,District 1 (Central),,,,NE 3 ST,Collision with:  Other non-fixed object (explain in narrative),On Roadway,Head-on (front to front),Separation of units,None Indicated,None apparent,Dark - roadway not lighted,Snow,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,3500,2,2,N/A,POINT (-93.615108461264 41.637542748536)
2009491274,,01/27/2009,01-January,3-Tuesday,07:40,0700 Hours,District 6 (East Central),,,,PENN ST & ALEXANDER WAY,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Daylight,Dry,Cloudy,None apparent,Intersection:  T-intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,5000,2,4,N/A,POINT (-91.627656573833 41.752399379328)
2009489276,SO9000189,01/27/2009,01-January,3-Tuesday,17:40,1700 Hours,District 3 (Northwest),,,IA 12,IA 12/IOWA 12,Collision with:  Animal,N/A,N/A,Animal,None Indicated,N/A,N/A,N/A,N/A,N/A,N/A,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1000,1,1,N/A,POINT (-96.557947265282 42.67684495837)
2009490545,CL09000361,01/28/2009,01-January,4-Wednesday,08:27,0800 Hours,District 6 (East Central),,,,8TH AVE S,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Other (explain in narrative):  Vision obstructed,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1500,2,2,N/A,POINT (-90.194685304779 41.837792724469)
2009492922,20090002990,01/28/2009,01-January,4-Wednesday,18:01,1800 Hours,District 1 (Central),,,I-235,I-235,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Dusk,Snow,Cloudy,None apparent,Interchange-related:  On-ramp merge area,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4500,2,2,N/A,POINT (-93.680602205132 41.591588190235)
2009493326,2009007651,01/29/2009,01-January,5-Thursday,07:50,0700 Hours,District 1 (Central),,,,Co Rd V18/V18 RD,Collision with fixed object:  Ditch,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,Weather conditions,Dawn,Ice/frost,Cloudy,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Possible/Unknown,0,1,0,0,1,0,7000,1,1,N/A,POINT (-92.441400490392 41.773027537319)
