Year,FIPS County Code,County Name,DHS Service Area,Judicial District,Abuse Type,Occurences,County Primary Point
2018,19137,Montgomery,1-Western,4-FourthJD,Dangerous Substance,53,POINT (-95.1563758 41.03014)
2018,19157,Poweshiek,4-Cedar Rapids,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-92.5314684 41.6864422)
2018,19099,Jasper,4-Cedar Rapids,5-FifthJD,Physical Abuse,17,POINT (-93.053765 41.6860394)
2018,19073,Greene,1-Western,2-Second JD,Dangerous Substance,47,POINT (-94.3968356 42.0362394)
2018,19003,Adams,5-Des Moines,5-FifthJD,Physical Abuse,4,POINT (-94.6991849 41.0289839)
2018,19139,Muscatine,3-Eastern,7-Seventh JD,Allows Access to Obscene Materials,1,POINT (-91.1127562 41.4839221)
2018,19139,Muscatine,3-Eastern,7-Seventh JD,Allows Access by Registered Sex Offender,12,POINT (-91.1127562 41.4839221)
2018,19021,Buena Vista,1-Western,3-Third JD,Dangerous Substance,27,POINT (-95.151149 42.7354936)
2018,19051,Davis,4-Cedar Rapids,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-92.4097173 40.7476891)
2018,19181,Warren,5-Des Moines,5-FifthJD,Allows Access by Registered Sex Offender,2,POINT (-93.5613594 41.3343735)
2018,19169,Story,5-Des Moines,2-Second JD,Denial of Critical Care (Neglect),267,POINT (-93.4650448 42.0362415)
2018,19123,Mahaska,4-Cedar Rapids,8-Eigth JD,Allows Access by Registered Sex Offender,4,POINT (-92.6409094 41.3352035)
2018,19055,Delaware,2-Northern,1-First JD,Denial of Critical Care (Neglect),30,POINT (-91.3673502 42.471211)
2018,19063,Emmet,1-Western,3-Third JD,Allows Access to Obscene Materials,1,POINT (-94.6784803 43.3780225)
2018,19145,Page,1-Western,4-FourthJD,Sexual Abuse,8,POINT (-95.1501747 40.7391444)
2018,19065,Fayette,2-Northern,1-First JD,Presence of Illegal Drugs in Child's System (PID),8,POINT (-91.8443207 42.8625919)
2018,19017,Bremer,2-Northern,2-Second JD,Allows Access by Registered Sex Offender,3,POINT (-92.3180548 42.7745873)
2018,19151,Pocahontas,2-Northern,2-Second JD,Dangerous Substance,14,POINT (-94.6787466 42.7341351)
2018,19011,Benton,4-Cedar Rapids,6-SixthJD,Dangerous Substance,43,POINT (-92.0656912 42.0801864)
2018,19105,Jones,4-Cedar Rapids,6-SixthJD,Physical Abuse,5,POINT (-91.1314352 42.1212397)
2018,19109,Kossuth,1-Western,3-Third JD,Sexual Abuse,3,POINT (-94.2067199 43.20413)
2018,19115,Louisa,3-Eastern,8-Eigth JD,Sexual Abuse,4,POINT (-91.2596184 41.2185073)
2018,19157,Poweshiek,4-Cedar Rapids,8-Eigth JD,Allows Access to Obscene Materials,2,POINT (-92.5314684 41.6864422)
2018,19015,Boone,5-Des Moines,2-Second JD,Dangerous Substance,21,POINT (-93.931671 42.0365493)
2018,19011,Benton,4-Cedar Rapids,6-SixthJD,Denial of Critical Care (Neglect),46,POINT (-92.0656912 42.0801864)
2018,19095,Iowa,4-Cedar Rapids,6-SixthJD,Physical Abuse,10,POINT (-92.065524 41.6863229)
2018,19139,Muscatine,3-Eastern,7-Seventh JD,Presence of Illegal Drugs in Child's System (PID),24,POINT (-91.1127562 41.4839221)
2018,19019,Buchanan,2-Northern,1-First JD,Physical Abuse,10,POINT (-91.8378392 42.4707777)
2018,19005,Allamakee,2-Northern,1-First JD,Physical Abuse,2,POINT (-91.3780923 43.2842838)
2018,19065,Fayette,2-Northern,1-First JD,Physical Abuse,9,POINT (-91.8443207 42.8625919)
2018,19133,Monona,1-Western,3-Third JD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-95.9599235 42.0516663)
2018,19181,Warren,5-Des Moines,5-FifthJD,Presence of Illegal Drugs in Child's System (PID),11,POINT (-93.5613594 41.3343735)
2018,19041,Clay,1-Western,3-Third JD,Denial of Critical Care (Neglect),38,POINT (-95.1509194 43.0825804)
2018,19047,Crawford,1-Western,3-Third JD,Dangerous Substance,35,POINT (-95.3819678 42.0372125)
2018,19123,Mahaska,4-Cedar Rapids,8-Eigth JD,Physical Abuse,10,POINT (-92.6409094 41.3352035)
2018,19127,Marshall,2-Northern,2-Second JD,Presence of Illegal Drugs in Child's System (PID),23,POINT (-92.9987706 42.0358499)
2018,19069,Franklin,2-Northern,2-Second JD,Presence of Illegal Drugs in Child's System (PID),1,POINT (-93.262473 42.7325458)
2018,19165,Shelby,1-Western,4-FourthJD,Denial of Critical Care (Neglect),46,POINT (-95.3102113 41.6850926)
2018,19057,Des Moines,3-Eastern,8-Eigth JD,Dangerous Substance,95,POINT (-91.1814707 40.9231829)
2018,19067,Floyd,2-Northern,2-Second JD,Denial of Critical Care (Neglect),67,POINT (-92.7890033 43.0599208)
2018,19007,Appanoose,4-Cedar Rapids,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),4,POINT (-92.8686104 40.7431635)
2018,19151,Pocahontas,2-Northern,2-Second JD,Sexual Abuse,2,POINT (-94.6787466 42.7341351)
2018,19017,Bremer,2-Northern,2-Second JD,Physical Abuse,6,POINT (-92.3180548 42.7745873)
2018,19033,Cerro Gordo,2-Northern,2-Second JD,Sexual Abuse,13,POINT (-93.2608184 43.0815577)
2018,19103,Johnson,4-Cedar Rapids,6-SixthJD,Sexual Abuse,11,POINT (-91.5880849 41.6715511)
2018,19149,Plymouth,1-Western,3-Third JD,Sexual Abuse,4,POINT (-96.2140431 42.7378346)
2018,19117,Lucas,5-Des Moines,5-FifthJD,Sexual Abuse,1,POINT (-93.3277207 41.0293738)
2018,19055,Delaware,2-Northern,1-First JD,Dangerous Substance,4,POINT (-91.3673502 42.471211)
2018,19083,Hardin,2-Northern,2-Second JD,Physical Abuse,15,POINT (-93.2404025 42.3838803)
2018,19105,Jones,4-Cedar Rapids,6-SixthJD,Presence of Illegal Drugs in Child's System (PID),13,POINT (-91.1314352 42.1212397)
2018,19161,Sac,1-Western,2-Second JD,Physical Abuse,5,POINT (-95.1053946 42.3862604)
2018,19021,Buena Vista,1-Western,3-Third JD,Denial of Critical Care (Neglect),74,POINT (-95.151149 42.7354936)
2018,19115,Louisa,3-Eastern,8-Eigth JD,Dangerous Substance,28,POINT (-91.2596184 41.2185073)
2018,19029,Cass,1-Western,4-FourthJD,Dangerous Substance,40,POINT (-94.9278266 41.3314876)
2018,19097,Jackson,3-Eastern,7-Seventh JD,Denial of Critical Care (Neglect),73,POINT (-90.5742294 42.1717426)
2018,19013,Black Hawk,2-Northern,1-First JD,Allows Access by Registered Sex Offender,13,POINT (-92.3088197 42.4700957)
2018,19079,Hamilton,2-Northern,2-Second JD,Dangerous Substance,11,POINT (-93.7068085 42.3837722)
2018,19169,Story,5-Des Moines,2-Second JD,Sexual Abuse,8,POINT (-93.4650448 42.0362415)
2018,19177,Van Buren,4-Cedar Rapids,8-Eigth JD,Physical Abuse,1,POINT (-91.9499871 40.7532294)
2018,19059,Dickinson,1-Western,3-Third JD,Physical Abuse,5,POINT (-95.1508301 43.3779848)
2018,19063,Emmet,1-Western,3-Third JD,Presence of Illegal Drugs in Child's System (PID),7,POINT (-94.6784803 43.3780225)
2018,19159,Ringgold,5-Des Moines,5-FifthJD,Denial of Critical Care (Neglect),27,POINT (-94.2439719 40.7352023)
2018,19117,Lucas,5-Des Moines,5-FifthJD,Allows Access to Obscene Materials,1,POINT (-93.3277207 41.0293738)
2018,19135,Monroe,4-Cedar Rapids,8-Eigth JD,Physical Abuse,3,POINT (-92.8689877 41.0297826)
2018,19077,Guthrie,1-Western,5-FifthJD,Allows Access by Registered Sex Offender,6,POINT (-94.501055 41.6837548)
2018,19093,Ida,1-Western,3-Third JD,Presence of Illegal Drugs in Child's System (PID),2,POINT (-95.5134962 42.3868747)
2018,19175,Union,5-Des Moines,5-FifthJD,Allows Access by Registered Sex Offender,1,POINT (-94.2423792 41.0277304)
2018,19039,Clarke,5-Des Moines,5-FifthJD,Physical Abuse,3,POINT (-93.7851579 41.0290323)
2018,19087,Henry,3-Eastern,8-Eigth JD,Physical Abuse,16,POINT (-91.5445241 40.9879383)
2018,19045,Clinton,3-Eastern,7-Seventh JD,Denial of Critical Care (Neglect),351,POINT (-90.5319724 41.8980358)
2018,19185,Wayne,5-Des Moines,5-FifthJD,Sexual Abuse,6,POINT (-93.3273639 40.7394702)
2018,19125,Marion,5-Des Moines,5-FifthJD,Dangerous Substance,25,POINT (-93.0994367 41.3344515)
2018,19031,Cedar,3-Eastern,7-Seventh JD,Denial of Critical Care (Neglect),64,POINT (-91.1324125 41.7723207)
2018,19127,Marshall,2-Northern,2-Second JD,Allows Access by Registered Sex Offender,9,POINT (-92.9987706 42.0358499)
2018,19171,Tama,4-Cedar Rapids,6-SixthJD,Sexual Abuse,6,POINT (-92.5325425 42.0798117)
2018,19053,Decatur,5-Des Moines,5-FifthJD,Mental Injury,1,POINT (-93.7862815 40.7376827)
2018,19143,Osceola,1-Western,3-Third JD,Denial of Critical Care (Neglect),34,POINT (-95.6236852 43.3785704)
2018,19103,Johnson,4-Cedar Rapids,6-SixthJD,Denial of Critical Care (Neglect),211,POINT (-91.5880849 41.6715511)
2018,19023,Butler,2-Northern,2-Second JD,Allows Access by Registered Sex Offender,5,POINT (-92.7901934 42.7315661)
2018,19081,Hancock,2-Northern,2-Second JD,Dangerous Substance,5,POINT (-93.7342723 43.0818861)
2018,19107,Keokuk,4-Cedar Rapids,8-Eigth JD,Physical Abuse,4,POINT (-92.1786426 41.336465)
2018,19163,Scott,3-Eastern,7-Seventh JD,Dangerous Substance,181,POINT (-90.6232428 41.6370978)
2018,19049,Dallas,5-Des Moines,5-FifthJD,Dangerous Substance,25,POINT (-94.0397374 41.6848862)
2018,19143,Osceola,1-Western,3-Third JD,Dangerous Substance,23,POINT (-95.6236852 43.3785704)
2018,19033,Cerro Gordo,2-Northern,2-Second JD,Dangerous Substance,105,POINT (-93.2608184 43.0815577)
2018,19049,Dallas,5-Des Moines,5-FifthJD,Denial of Critical Care (Neglect),113,POINT (-94.0397374 41.6848862)
2018,19149,Plymouth,1-Western,3-Third JD,Allows Access by Registered Sex Offender,7,POINT (-96.2140431 42.7378346)
2018,19043,Clayton,2-Northern,1-First JD,Denial of Critical Care (Neglect),51,POINT (-91.3414328 42.8447493)
2018,19089,Howard,2-Northern,1-First JD,Physical Abuse,2,POINT (-92.3171989 43.3567673)
2018,19153,Polk,5-Des Moines,5-FifthJD,Sexual Abuse,86,POINT (-93.5735335 41.6855048)
2018,19001,Adair,5-Des Moines,5-FifthJD,Denial of Critical Care (Neglect),25,POINT (-94.4709413 41.3307464)
2018,19099,Jasper,4-Cedar Rapids,5-FifthJD,Allows Access by Registered Sex Offender,4,POINT (-93.053765 41.6860394)
2018,19183,Washington,4-Cedar Rapids,8-Eigth JD,Denial of Critical Care (Neglect),26,POINT (-91.7178676 41.335591)
2018,19191,Winneshiek,2-Northern,1-First JD,Dangerous Substance,25,POINT (-91.8437074 43.2906746)
2018,19113,Linn,4-Cedar Rapids,6-SixthJD,Mental Injury,3,POINT (-91.5989646 42.0789478)
2018,19027,Carroll,1-Western,2-Second JD,Denial of Critical Care (Neglect),92,POINT (-94.8605593 42.0362382)
2018,19075,Grundy,2-Northern,1-First JD,Dangerous Substance,2,POINT (-92.7914177 42.4018651)
2018,19111,Lee,3-Eastern,8-Eigth JD,Sexual Abuse,5,POINT (-91.479264 40.6419764)
2018,19107,Keokuk,4-Cedar Rapids,8-Eigth JD,Denial of Critical Care (Neglect),24,POINT (-92.1786426 41.336465)
2018,19085,Harrison,1-Western,4-FourthJD,Physical Abuse,4,POINT (-95.8169209 41.6828528)
2018,19163,Scott,3-Eastern,7-Seventh JD,Allows Access to Obscene Materials,1,POINT (-90.6232428 41.6370978)
2018,19003,Adams,5-Des Moines,5-FifthJD,Allows Access by Registered Sex Offender,1,POINT (-94.6991849 41.0289839)
2018,19091,Humboldt,2-Northern,2-Second JD,Sexual Abuse,4,POINT (-94.2071868 42.7764686)
2018,19021,Buena Vista,1-Western,3-Third JD,Sexual Abuse,6,POINT (-95.151149 42.7354936)
2018,19137,Montgomery,1-Western,4-FourthJD,Denial of Critical Care (Neglect),58,POINT (-95.1563758 41.03014)
2018,19043,Clayton,2-Northern,1-First JD,Physical Abuse,2,POINT (-91.3414328 42.8447493)
2018,19185,Wayne,5-Des Moines,5-FifthJD,Denial of Critical Care (Neglect),21,POINT (-93.3273639 40.7394702)
2018,19157,Poweshiek,4-Cedar Rapids,8-Eigth JD,Physical Abuse,4,POINT (-92.5314684 41.6864422)
2018,19099,Jasper,4-Cedar Rapids,5-FifthJD,Presence of Illegal Drugs in Child's System (PID),10,POINT (-93.053765 41.6860394)
2018,19191,Winneshiek,2-Northern,1-First JD,Physical Abuse,3,POINT (-91.8437074 43.2906746)
2018,19197,Wright,2-Northern,2-Second JD,Physical Abuse,6,POINT (-93.7351465 42.7331189)
2018,19031,Cedar,3-Eastern,7-Seventh JD,Physical Abuse,5,POINT (-91.1324125 41.7723207)
2018,19071,Fremont,1-Western,4-FourthJD,Sexual Abuse,5,POINT (-95.6046765 40.7455892)
2018,19137,Montgomery,1-Western,4-FourthJD,Physical Abuse,3,POINT (-95.1563758 41.03014)
2018,19079,Hamilton,2-Northern,2-Second JD,Sexual Abuse,3,POINT (-93.7068085 42.3837722)
2018,19131,Mitchell,2-Northern,2-Second JD,Physical Abuse,5,POINT (-92.7890315 43.3564124)
2018,19193,Woodbury,1-Western,3-Third JD,Denial of Critical Care (Neglect),528,POINT (-96.0447673 42.3897169)
2018,19037,Chickasaw,2-Northern,1-First JD,Physical Abuse,3,POINT (-92.3176637 43.0600414)
2018,19121,Madison,5-Des Moines,5-FifthJD,Dangerous Substance,14,POINT (-94.0155619 41.3307142)
2018,19111,Lee,3-Eastern,8-Eigth JD,Allows Access by Registered Sex Offender,6,POINT (-91.479264 40.6419764)
2018,19097,Jackson,3-Eastern,7-Seventh JD,Dangerous Substance,12,POINT (-90.5742294 42.1717426)
2018,19125,Marion,5-Des Moines,5-FifthJD,Denial of Critical Care (Neglect),58,POINT (-93.0994367 41.3344515)
2018,19011,Benton,4-Cedar Rapids,6-SixthJD,Sexual Abuse,6,POINT (-92.0656912 42.0801864)
2018,19015,Boone,5-Des Moines,2-Second JD,Denial of Critical Care (Neglect),86,POINT (-93.931671 42.0365493)
2018,19057,Des Moines,3-Eastern,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),37,POINT (-91.1814707 40.9231829)
2018,19141,OBrien,1-Western,3-Third JD,Dangerous Substance,40,POINT (-95.6248784 43.0837527)
2018,19109,Kossuth,1-Western,3-Third JD,Dangerous Substance,29,POINT (-94.2067199 43.20413)
2018,19025,Calhoun,2-Northern,2-Second JD,Physical Abuse,2,POINT (-94.6404136 42.3851848)
2018,19153,Polk,5-Des Moines,5-FifthJD,Dangerous Substance,545,POINT (-93.5735335 41.6855048)
2018,19067,Floyd,2-Northern,2-Second JD,Sexual Abuse,7,POINT (-92.7890033 43.0599208)
2018,19147,Palo Alto,1-Western,3-Third JD,Denial of Critical Care (Neglect),38,POINT (-94.6781371 43.0820643)
2018,19155,Pottawattamie,1-Western,4-FourthJD,Allows Access by Registered Sex Offender,7,POINT (-95.5423935 41.3366123)
2018,19101,Jefferson,4-Cedar Rapids,8-Eigth JD,Physical Abuse,3,POINT (-91.9488774 41.0317596)
2018,19007,Appanoose,4-Cedar Rapids,8-Eigth JD,Sexual Abuse,4,POINT (-92.8686104 40.7431635)
2018,19049,Dallas,5-Des Moines,5-FifthJD,Sexual Abuse,18,POINT (-94.0397374 41.6848862)
2018,19059,Dickinson,1-Western,3-Third JD,Presence of Illegal Drugs in Child's System (PID),13,POINT (-95.1508301 43.3779848)
2018,19013,Black Hawk,2-Northern,1-First JD,Physical Abuse,52,POINT (-92.3088197 42.4700957)
2018,19033,Cerro Gordo,2-Northern,2-Second JD,Presence of Illegal Drugs in Child's System (PID),29,POINT (-93.2608184 43.0815577)
2018,19167,Sioux,1-Western,3-Third JD,Presence of Illegal Drugs in Child's System (PID),2,POINT (-96.1778827 43.0826174)
2018,19083,Hardin,2-Northern,2-Second JD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-93.2404025 42.3838803)
2018,19173,Taylor,1-Western,5-FifthJD,Presence of Illegal Drugs in Child's System (PID),2,POINT (-94.6964148 40.7374324)
2018,19093,Ida,1-Western,3-Third JD,Physical Abuse,5,POINT (-95.5134962 42.3868747)
2018,19071,Fremont,1-Western,4-FourthJD,Dangerous Substance,21,POINT (-95.6046765 40.7455892)
2018,19129,Mills,1-Western,4-FourthJD,Physical Abuse,5,POINT (-95.6213267 41.0334523)
2018,19023,Butler,2-Northern,2-Second JD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-92.7901934 42.7315661)
2018,19155,Pottawattamie,1-Western,4-FourthJD,Sexual Abuse,44,POINT (-95.5423935 41.3366123)
2018,19035,Cherokee,1-Western,3-Third JD,Physical Abuse,4,POINT (-95.6238055 42.7356226)
2018,19119,Lyon,1-Western,3-Third JD,Denial of Critical Care (Neglect),42,POINT (-96.2102924 43.380497)
2018,19189,Winnebago,2-Northern,2-Second JD,Dangerous Substance,32,POINT (-93.7341955 43.3775678)
2018,19165,Shelby,1-Western,4-FourthJD,Physical Abuse,4,POINT (-95.3102113 41.6850926)
2018,19177,Van Buren,4-Cedar Rapids,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-91.9499871 40.7532294)
2018,19163,Scott,3-Eastern,7-Seventh JD,Physical Abuse,117,POINT (-90.6232428 41.6370978)
2018,19117,Lucas,5-Des Moines,5-FifthJD,Presence of Illegal Drugs in Child's System (PID),2,POINT (-93.3277207 41.0293738)
2018,19105,Jones,4-Cedar Rapids,6-SixthJD,Allows Access to Obscene Materials,1,POINT (-91.1314352 42.1212397)
2018,19081,Hancock,2-Northern,2-Second JD,Presence of Illegal Drugs in Child's System (PID),1,POINT (-93.7342723 43.0818861)
2018,19187,Webster,2-Northern,2-Second JD,Physical Abuse,21,POINT (-94.1817881 42.4279662)
2018,19115,Louisa,3-Eastern,8-Eigth JD,Denial of Critical Care (Neglect),64,POINT (-91.2596184 41.2185073)
2018,19057,Des Moines,3-Eastern,8-Eigth JD,Allows Access by Registered Sex Offender,12,POINT (-91.1814707 40.9231829)
2018,19145,Page,1-Western,4-FourthJD,Presence of Illegal Drugs in Child's System (PID),4,POINT (-95.1501747 40.7391444)
2018,19003,Adams,5-Des Moines,5-FifthJD,Other,1,POINT (-94.6991849 41.0289839)
2018,19067,Floyd,2-Northern,2-Second JD,Dangerous Substance,26,POINT (-92.7890033 43.0599208)
2018,19139,Muscatine,3-Eastern,7-Seventh JD,Physical Abuse,19,POINT (-91.1127562 41.4839221)
2018,19019,Buchanan,2-Northern,1-First JD,Presence of Illegal Drugs in Child's System (PID),5,POINT (-91.8378392 42.4707777)
2018,19127,Marshall,2-Northern,2-Second JD,Physical Abuse,35,POINT (-92.9987706 42.0358499)
2018,19061,Dubuque,3-Eastern,1-First JD,Denial of Critical Care (Neglect),371,POINT (-90.8824564 42.468832)
2018,19051,Davis,4-Cedar Rapids,8-Eigth JD,Physical Abuse,1,POINT (-92.4097173 40.7476891)
2018,19151,Pocahontas,2-Northern,2-Second JD,Presence of Illegal Drugs in Child's System (PID),1,POINT (-94.6787466 42.7341351)
2018,19179,Wapello,4-Cedar Rapids,8-Eigth JD,Sexual Abuse,13,POINT (-92.4094499 41.0305845)
2018,19041,Clay,1-Western,3-Third JD,Dangerous Substance,33,POINT (-95.1509194 43.0825804)
2018,19119,Lyon,1-Western,3-Third JD,Dangerous Substance,22,POINT (-96.2102924 43.380497)
2018,19169,Story,5-Des Moines,2-Second JD,Dangerous Substance,40,POINT (-93.4650448 42.0362415)
2018,19095,Iowa,4-Cedar Rapids,6-SixthJD,Denial of Critical Care (Neglect),53,POINT (-92.065524 41.6863229)
2018,19175,Union,5-Des Moines,5-FifthJD,Physical Abuse,12,POINT (-94.2423792 41.0277304)
2018,19045,Clinton,3-Eastern,7-Seventh JD,Sexual Abuse,9,POINT (-90.5319724 41.8980358)
2018,19081,Hancock,2-Northern,2-Second JD,Sexual Abuse,2,POINT (-93.7342723 43.0818861)
2018,19121,Madison,5-Des Moines,5-FifthJD,Sexual Abuse,6,POINT (-94.0155619 41.3307142)
2018,19027,Carroll,1-Western,2-Second JD,Sexual Abuse,3,POINT (-94.8605593 42.0362382)
2018,19069,Franklin,2-Northern,2-Second JD,Dangerous Substance,13,POINT (-93.262473 42.7325458)
2018,19193,Woodbury,1-Western,3-Third JD,Presence of Illegal Drugs in Child's System (PID),104,POINT (-96.0447673 42.3897169)
2018,19171,Tama,4-Cedar Rapids,6-SixthJD,Dangerous Substance,51,POINT (-92.5325425 42.0798117)
2018,19189,Winnebago,2-Northern,2-Second JD,Sexual Abuse,1,POINT (-93.7341955 43.3775678)
2018,19175,Union,5-Des Moines,5-FifthJD,Presence of Illegal Drugs in Child's System (PID),4,POINT (-94.2423792 41.0277304)
2018,19197,Wright,2-Northern,2-Second JD,Presence of Illegal Drugs in Child's System (PID),2,POINT (-93.7351465 42.7331189)
2018,19077,Guthrie,1-Western,5-FifthJD,Dangerous Substance,43,POINT (-94.501055 41.6837548)
2018,19035,Cherokee,1-Western,3-Third JD,Denial of Critical Care (Neglect),24,POINT (-95.6238055 42.7356226)
2018,19141,OBrien,1-Western,3-Third JD,Denial of Critical Care (Neglect),49,POINT (-95.6248784 43.0837527)
2018,19187,Webster,2-Northern,2-Second JD,Allows Access by Registered Sex Offender,2,POINT (-94.1817881 42.4279662)
2018,19163,Scott,3-Eastern,7-Seventh JD,Presence of Illegal Drugs in Child's System (PID),126,POINT (-90.6232428 41.6370978)
2018,19063,Emmet,1-Western,3-Third JD,Allows Access by Registered Sex Offender,1,POINT (-94.6784803 43.3780225)
2018,19005,Allamakee,2-Northern,1-First JD,Denial of Critical Care (Neglect),57,POINT (-91.3780923 43.2842838)
2018,19047,Crawford,1-Western,3-Third JD,Sexual Abuse,6,POINT (-95.3819678 42.0372125)
2018,19015,Boone,5-Des Moines,2-Second JD,Sexual Abuse,6,POINT (-93.931671 42.0365493)
2018,19133,Monona,1-Western,3-Third JD,Physical Abuse,3,POINT (-95.9599235 42.0516663)
2018,19181,Warren,5-Des Moines,5-FifthJD,Physical Abuse,19,POINT (-93.5613594 41.3343735)
2018,19049,Dallas,5-Des Moines,5-FifthJD,Mental Injury,1,POINT (-94.0397374 41.6848862)
2018,19027,Carroll,1-Western,2-Second JD,Dangerous Substance,57,POINT (-94.8605593 42.0362382)
2018,19047,Crawford,1-Western,3-Third JD,Presence of Illegal Drugs in Child's System (PID),2,POINT (-95.3819678 42.0372125)
2018,19123,Mahaska,4-Cedar Rapids,8-Eigth JD,Denial of Critical Care (Neglect),69,POINT (-92.6409094 41.3352035)
2018,19087,Henry,3-Eastern,8-Eigth JD,Denial of Critical Care (Neglect),167,POINT (-91.5445241 40.9879383)
2018,19039,Clarke,5-Des Moines,5-FifthJD,Denial of Critical Care (Neglect),65,POINT (-93.7851579 41.0290323)
2018,19089,Howard,2-Northern,1-First JD,Presence of Illegal Drugs in Child's System (PID),5,POINT (-92.3171989 43.3567673)
2018,19001,Adair,5-Des Moines,5-FifthJD,Other,1,POINT (-94.4709413 41.3307464)
2018,19099,Jasper,4-Cedar Rapids,5-FifthJD,Dangerous Substance,61,POINT (-93.053765 41.6860394)
2018,19129,Mills,1-Western,4-FourthJD,Denial of Critical Care (Neglect),41,POINT (-95.6213267 41.0334523)
2018,19073,Greene,1-Western,2-Second JD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-94.3968356 42.0362394)
2018,19183,Washington,4-Cedar Rapids,8-Eigth JD,Physical Abuse,6,POINT (-91.7178676 41.335591)
2018,19113,Linn,4-Cedar Rapids,6-SixthJD,Denial of Critical Care (Neglect),633,POINT (-91.5989646 42.0789478)
2018,19195,Worth,2-Northern,2-Second JD,Physical Abuse,4,POINT (-93.2608476 43.3773984)
